lang,author,period,year,title,tau_prev,n,mean_K,alpha,beta,loglik,alpha_marginal,beta_marginal,alpha_ratio,beta_ratio
en,dickens,early,1836,Pickwick_Papers,:,144,7.493055555555555,1.4530126080653565,8.872261752311413,-428.36361840965907,1.450197203975704,6.356837950824721,1.0019413939579624,1.395703621980854
en,dickens,late,1865,Our_Mutual_Friend,.,15581,6.166549001989603,1.5482815256549536,7.449450676794671,-43024.3374555123,1.5634207580050075,7.404073601903315,0.990316597580953,1.0061286633995226
en,dickens,late,1865,Our_Mutual_Friend,",",31486,6.161849710982659,1.560020051266567,7.453992508728559,-86780.72965302318,1.5634207580050075,7.404073601903315,0.9978248294830242,1.0067420867902248
en,dickens,late,1865,Our_Mutual_Friend,!,2433,5.715988491574188,1.6618190692031223,7.005078105272233,-6428.795721677694,1.5634207580050075,7.404073601903315,1.062937830839393,0.9461113546293604
en,dickens,late,1865,Our_Mutual_Friend,?,2778,5.045356371490281,1.665981305433692,6.252183797636861,-6999.092875215179,1.5634207580050075,7.404073601903315,1.0656000931953573,0.8444248576931561
en,dickens,late,1865,Our_Mutual_Friend,;,1932,6.971532091097308,1.6504035153623207,8.392852233929702,-5487.823238189381,1.5634207580050075,7.404073601903315,1.0556361791360036,1.1335452191847752
en,dickens,late,1865,Our_Mutual_Friend,:,558,6.161290322580645,1.4626966503743524,7.3953358973258,-1557.6960973688924,1.5634207580050075,7.404073601903315,0.9355745360838221,0.9988198787522494
en,dickens,middle,1850,David_Copperfield,.,18311,5.566217028015947,1.5331500941019192,6.76534520782921,-49000.040061191736,1.6247218026958583,7.006776880862054,0.9436385303367034,0.9655431195915088
en,dickens,middle,1850,David_Copperfield,",",36218,5.777983323209454,1.6549802577652957,7.0592508763195845,-96447.86129525478,1.6247218026958583,7.006776880862054,1.018623776094609,1.0074890347373349
en,dickens,middle,1850,David_Copperfield,!,2808,5.138888888888889,1.715061566104552,6.363717641464415,-7090.466334965531,1.6247218026958583,7.006776880862054,1.0556032197381702,0.9082232458187648
en,dickens,middle,1850,David_Copperfield,?,1802,4.585460599334073,1.8352640324304428,5.757554791855754,-4266.640727701475,1.6247218026958583,7.006776880862054,1.129586634084209,0.8217123064931096
en,dickens,middle,1850,David_Copperfield,;,3486,7.468445209409065,1.880868810459728,8.992612686511515,-9865.656108662184,1.6247218026958583,7.006776880862054,1.1576559182863502,1.2834164465937927
en,dickens,middle,1850,David_Copperfield,:,454,5.127753303964758,1.6017653140913026,6.305100739976089,-1170.7178486144996,1.6247218026958583,7.006776880862054,0.9858705111444528,0.8998575018418973
nl,couperus,early,1889,Eline_Vere,.,14927,3.7249949755476655,0.8025911668674095,3.743155902182222,-35985.746993043416,1.2796082510557816,5.655142948076457,0.6272163110899027,0.6619029680682822
nl,couperus,early,1889,Eline_Vere,",",18325,5.5238199181446115,1.805034658488559,6.802309268334241,-47026.012986870075,1.2796082510557816,5.655142948076457,1.4106150511293263,1.2028536379700148
