lang,author,period,year,title,k,hazard_empirical,hazard_weibull
en,dickens,late,1865,Our_Mutual_Friend,15,0.2183606557377049,0.27396674994309733
en,dickens,late,1865,Our_Mutual_Friend,16,0.21350671140939598,0.28225420273316415
en,dickens,late,1865,Our_Mutual_Friend,17,0.23413333333333333,0.29023406606028734
en,dickens,late,1865,Our_Mutual_Friend,18,0.2298050139275766,0.2979316379793846
en,dickens,late,1865,Our_Mutual_Friend,19,0.21699819168173598,0.30536892657153847
en,dickens,late,1865,Our_Mutual_Friend,20,0.2066974595842956,0.31256522296242406
en,dickens,late,1865,Our_Mutual_Friend,21,0.21251819505094613,0.3195375515853489
en,dickens,middle,1850,David_Copperfield,0,0.0002060907750598456,0.0414110813773213
en,dickens,middle,1850,David_Copperfield,1,0.11916087907906003,0.08435925688985302
en,dickens,middle,1850,David_Copperfield,2,0.10916095119799823,0.11450528993042919
en,dickens,middle,1850,David_Copperfield,3,0.18018873643583164,0.13944052698242204
en,dickens,middle,1850,David_Copperfield,4,0.17764357899926053,0.16117837814329905
en,dickens,middle,1850,David_Copperfield,5,0.17948026256631597,0.18066584649773965
en,dickens,middle,1850,David_Copperfield,6,0.20496803652968038,0.19844612300674247
en,dickens,middle,1850,David_Copperfield,7,0.21746921521779083,0.21486772266537546
en,dickens,middle,1850,David_Copperfield,8,0.22359227291409783,0.23017127167342166
en,dickens,middle,1850,David_Copperfield,9,0.23617938440595931,0.24453179080243082
en,dickens,middle,1850,David_Copperfield,10,0.24188118811881187,0.2580816507024535
en,dickens,middle,1850,David_Copperfield,11,0.24147838579077968,0.2709240552494554
en,dickens,middle,1850,David_Copperfield,12,0.2450068870523416,0.2831414527172895
en,dickens,middle,1850,David_Copperfield,13,0.24492588369441276,0.2948010389474629
en,dickens,middle,1850,David_Copperfield,14,0.26155240108728484,0.3059585001225985
en,dickens,middle,1850,David_Copperfield,15,0.25480572597137013,0.31666064143870887
en,dickens,middle,1850,David_Copperfield,16,0.2557628979143798,0.32694728408413265
en,dickens,middle,1850,David_Copperfield,17,0.2529498525073746,0.3368526663479897
en,dickens,middle,1850,David_Copperfield,18,0.2734452122408687,0.3464064994914723
en,dickens,middle,1850,David_Copperfield,19,0.25679347826086957,0.3556347775607608
nl,couperus,early,1889,Eline_Vere,0,0.13590057580573722,0.10321118954425657
nl,couperus,early,1889,Eline_Vere,1,0.10622644353987637,0.1440383045157293
nl,couperus,early,1889,Eline_Vere,2,0.13811483705552932,0.1646085477462237
nl,couperus,early,1889,Eline_Vere,3,0.15343666823234695,0.17940797215384496
nl,couperus,early,1889,Eline_Vere,4,0.18882929535786944,0.19118193618204415
nl,couperus,early,1889,Eline_Vere,5,0.21369129046967625,0.20105074097098952
nl,couperus,early,1889,Eline_Vere,6,0.2384197172888728,0.20959477168099916
nl,couperus,early,1889,Eline_Vere,7,0.24928612221587665,0.21715747195969437
nl,couperus,early,1889,Eline_Vere,8,0.25193356155699254,0.22396046327644692
nl,couperus,early,1889,Eline_Vere,9,0.2533898305084746,0.23015581233985527
nl,couperus,early,1889,Eline_Vere,10,0.25947786606129397,0.23585277018606365
nl,couperus,early,1889,Eline_Vere,11,0.26640098099325565,0.24113268821162392
nl,couperus,early,1889,Eline_Vere,12,0.2511491851232762,0.24605790688249252
nl,couperus,early,1889,Eline_Vere,13,0.25669642857142855,0.25067733658277935
nl,couperus,early,1889,Eline_Vere,14,0.253003003003003,0.2550301133951448
nl,couperus,early,1889,Eline_Vere,15,0.271356783919598,0.2591480795920834
nl,couperus,early,1889,Eline_Vere,16,0.22758620689655173,0.2630575173796822
nl,couperus,early,1889,Eline_Vere,17,0.2642857142857143,0.26678039186688984
nl,couperus,early,1889,Eline_Vere,18,0.25485436893203883,0.27033526199252145
nl,couperus,late,1917,De_komedianten,0,0.27122809517025215,0.23846258782362628
nl,couperus,late,1917,De_komedianten,1,0.16485020282488638,0.23666516260391512
nl,couperus,late,1917,De_komedianten,2,0.20423689138576778,0.23599105592103564
nl,couperus,late,1917,De_komedianten,3,0.24202088542432712,0.235554192574275
nl,couperus,late,1917,De_komedianten,4,0.25167361986999126,0.23522979309584902
nl,couperus,late,1917,De_komedianten,5,0.2554129391935693,0.2349715493911242
nl,couperus,late,1917,De_komedianten,6,0.27912240989030124,0.23475697660560046
nl,couperus,late,1917,De_komedianten,7,0.2816425120772947,0.23457341782202001
nl,couperus,late,1917,De_komedianten,8,0.28211163416274376,0.2344130325534367
nl,couperus,late,1917,De_komedianten,9,0.25245901639344265,0.2342706239992116
nl,couperus,late,1917,De_komedianten,10,0.26378446115288223,0.23414256903578834
nl,couperus,late,1917,De_komedianten,11,0.23404255319148937,0.23402624042969544
nl,couperus,late,1917,De_komedianten,12,0.23777777777777778,0.23391967218000276
nl,couperus,late,1917,De_komedianten,13,0.24489795918367346,0.2338213546489495
nl,couperus,late,1917,De_komedianten,14,0.23745173745173745,0.2337301033838486
nl,couperus,late,1917,De_komedianten,15,0.25316455696202533,0.23364497193769873
nl,couperus,late,1917,De_komedianten,16,0.25084745762711863,0.23356519208333493
nl,couperus,middle,1900,Langs_lijnen,0,0.1363532110091743,0.09305085339996588
nl,couperus,middle,1900,Langs_lijnen,1,0.08962953127074758,0.14159485751004175
nl,couperus,middle,1900,Langs_lijnen,2,0.1183634772462077,0.16792430211446774
