lang,author,period,year,title,variant,rep,n_ipi,alpha,beta,winner,weibull_delta_aic,geometric_delta_aic,nbinom_delta_aic,lognormal_delta_aic
en,dickens,late,1865,Our_Mutual_Friend,shuffled,20,54768,0.9945685435433902,6.587173217889329,weibull,0.0,0.3856050068861805,0.6748112560017034,9647.780274075514
en,dickens,late,1865,Our_Mutual_Friend,shuffled,21,54768,1.0009708000082382,6.604802842574189,geometric,1.9247554717585444,0.0,1.9541627735598013,9904.157689356303
en,dickens,late,1865,Our_Mutual_Friend,shuffled,22,54768,1.0018166550169516,6.607872031566659,geometric,1.7369341075536795,0.0,1.8670913551468402,9815.316796517523
en,dickens,late,1865,Our_Mutual_Friend,shuffled,23,54768,0.9984086148253941,6.598169077358346,geometric,1.7969511639676057,0.0,1.7027134996606037,9638.100926355168
en,dickens,late,1865,Our_Mutual_Friend,shuffled,24,54768,1.0014929046049492,6.60717785789474,geometric,1.8221407550154254,0.0,1.8526954816188663,9921.200681916322
en,dickens,late,1865,Our_Mutual_Friend,shuffled,25,54768,0.996656158362288,6.593340473620596,geometric,1.097047294548247,0.0,1.4852835627971217,9461.076599666732
en,dickens,late,1865,Our_Mutual_Friend,shuffled,26,54768,0.9986987116971129,6.598954644056793,geometric,1.8637740799458697,0.0,1.9544904721551575,9597.76765233255
en,dickens,late,1865,Our_Mutual_Friend,shuffled,27,54768,1.0045939924258207,6.6156818981700125,geometric,0.3244479816639796,0.0,0.6690170291112736,9916.327276521188
en,dickens,late,1865,Our_Mutual_Friend,shuffled,28,54768,1.000823382060437,6.604989658311254,geometric,1.9458488195668906,0.0,1.9891865390818566,9753.035506943532
en,dickens,late,1865,Our_Mutual_Friend,shuffled,29,54768,0.9960465655908142,6.591574712850155,geometric,0.7384047986706719,0.0,0.9957526801736094,9537.094017156342
en,dickens,late,1865,Our_Mutual_Friend,shuffled,30,54768,1.0031268040266634,6.611736448430632,geometric,1.2208826897549443,0.0,1.2561316437786445,9884.892013041303
en,dickens,late,1865,Our_Mutual_Friend,shuffled,31,54768,1.0003700865248146,6.6037042409750715,geometric,1.9890272947377525,0.0,1.9797027227468789,9767.326922167675
en,dickens,late,1865,Our_Mutual_Friend,shuffled,32,54768,0.9920040307390989,6.579854440715775,weibull,0.0,3.179779890750069,0.3569003856391646,9549.556287199084
en,dickens,late,1865,Our_Mutual_Friend,shuffled,33,54768,0.998230262456081,6.597654934346565,geometric,1.7483177045942284,0.0,1.7734322018222883,9614.687173945014
en,dickens,late,1865,Our_Mutual_Friend,shuffled,34,54768,1.0011680890230852,6.606014806980299,geometric,1.8914092549239285,0.0,1.9849303679075092,10027.14812284254
en,dickens,late,1865,Our_Mutual_Friend,shuffled,35,54768,0.9958152039951145,6.590758531586825,geometric,0.5827405272866599,0.0,1.1186794876703061,9305.407690667373
